CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Date
Belarus,345998,888,2443,10,336227,742,7328,,20/4/2021
Greece,320629,3750,9627,87,278690,3137,32312,847,20/4/2021
Croatia,310306,2106,6643,42,289664,1877,13999,213,20/4/2021
Azerbaijan,303858,2197,4203,34,267485,1946,32170,,20/4/2021
Georgia,297728,1792,3959,10,282237,663,11532,,20/4/2021
Kazakhstan,292250,2530,3436,30,250180,2084,38634,221,20/4/2021
Bolivia,290362,1296,12666,18,239194,999,38502,71,20/4/2021
Tunisia,289230,2169,9918,93,239104,2511,40208,483,20/4/2021
Nepal,287567,1667,3102,11,275806,251,8659,,20/4/2021
Palestine,284280,2010,3078,31,251663,2281,29539,165,20/4/2021
