CountryName,Total Case,New Case,Total Deaths,new Deaths,Total Recovered,Active Cases,Critical Cases,Total Case / 1M Pop,Deaths / 1M Pop,Total Tests,Total Tests / 1M Pop,Population
Saint Kitts and Nevis,44,, ,,44,,0,,823,,"12,381","231,459"
Greenland,31,, ,,31,,0,,545,,"20,669","363,590"
Vatican City,27,, ,,15,,12,,"33,624",,,
Anguilla,25,, ,,22,,3,,"1,655",,"14,579","965,049"
Saint Pierre Miquelon,24,, ,,24,,0,,"4,158",,"5,126","888,080"
Montserrat,20,,1 ,,19,,0,,"4,005",200,"1,313","262,915"
Solomon Islands,19,, ,,18,,1,,27,,"4,500","6,430"
Western Sahara,10,,1 ,,8,,1,,16,2,,
Marshall Islands,4,, ,,4,,0,,67,,,
Samoa,3,, ,,2,,1,,15,,,
Vanuatu,3,, ,,1,,2,,10,,470,"1,503"
Micronesia,1,, ,,1,,0,,9,,,
China,"90,426",+16,"4,636 ",,"85,495",+7,295,3,63,3,"160,000,000","111,163"
